Gene Ensembl ID,2020 Gene Name,2024 Gene Name,2020 Gene Type,2024 Gene Type
ENSMUSG00000005625,Psmd4,Psmd4,protein_coding,protein_coding
ENSMUSG00000005628,Tmod4,Tmod4,protein_coding,protein_coding
ENSMUSG00000005640,Insrr,Insrr,protein_coding,protein_coding
ENSMUSG00000005649,Cabp5,Cabp5,protein_coding,protein_coding
ENSMUSG00000005656,Snx6,Snx6,protein_coding,protein_coding
ENSMUSG00000005667,Mthfd2,Mthfd2,protein_coding,protein_coding
ENSMUSG00000005672,Kit,Kit,protein_coding,protein_coding
ENSMUSG00000005674,Tomm40l,Tomm40l,protein_coding,protein_coding
ENSMUSG00000005677,Nr1i3,Nr1i3,protein_coding,protein_coding
ENSMUSG00000005681,Apoa2,Apoa2,protein_coding,protein_coding
ENSMUSG00000005682,Pan2,Pan2,protein_coding,protein_coding
ENSMUSG00000005683,Cs,Cs,protein_coding,protein_coding
ENSMUSG00000005686,Ampd3,Ampd3,protein_coding,protein_coding
ENSMUSG00000005687,Bcas2,Bcas2,protein_coding,protein_coding
ENSMUSG00000005696,Sh2d1a,Sh2d1a,protein_coding,protein_coding
ENSMUSG00000005698,Ctcf,Ctcf,protein_coding,protein_coding
ENSMUSG00000005699,Pard6a,Pard6a,protein_coding,protein_coding
ENSMUSG00000005705,Agrp,Agrp,protein_coding,protein_coding
ENSMUSG00000005716,Pvalb,Pvalb,protein_coding,protein_coding
ENSMUSG00000005718,Tfap4,Tfap4,protein_coding,protein_coding
ENSMUSG00000005732,Ranbp1,Ranbp1,protein_coding,protein_coding
ENSMUSG00000005763,Cd247,Cd247,protein_coding,protein_coding
ENSMUSG00000005774,Rfx5,Rfx5,protein_coding,protein_coding
ENSMUSG00000005779,Psmb4,Psmb4,protein_coding,protein_coding
ENSMUSG00000005800,Mmp8,Mmp8,protein_coding,protein_coding
ENSMUSG00000005802,Slc30a4,Slc30a4,protein_coding,protein_coding
ENSMUSG00000005803,Sqor,Sqor,protein_coding,protein_coding
ENSMUSG00000005804,Bloc1s6,Bloc1s6,protein_coding,protein_coding
ENSMUSG00000005813,Metap1,Metap1,protein_coding,protein_coding
ENSMUSG00000005823,Gpr108,Gpr108,protein_coding,protein_coding
ENSMUSG00000005824,Tnfsf14,Tnfsf14,protein_coding,protein_coding
ENSMUSG00000005836,Gata6,Gata6,protein_coding,protein_coding
ENSMUSG00000005846,Rsl1d1,Rsl1d1,protein_coding,protein_coding
ENSMUSG00000005864,Cnga2,Cnga2,protein_coding,protein_coding
ENSMUSG00000005871,Apc,Apc,protein_coding,protein_coding
ENSMUSG00000005873,Reep5,Reep5,protein_coding,protein_coding
ENSMUSG00000005881,Ergic3,Ergic3,protein_coding,protein_coding
ENSMUSG00000005882,Uqcc1,Uqcc1,protein_coding,protein_coding
ENSMUSG00000005883,Spo11,Spo11,protein_coding,protein_coding
ENSMUSG00000005886,Ncoa2,Ncoa2,protein_coding,protein_coding
ENSMUSG00000005891,Prl4a1,Prl4a1,protein_coding,protein_coding
ENSMUSG00000005892,Trh,Trh,protein_coding,protein_coding
ENSMUSG00000005893,Nr2c2,Nr2c2,protein_coding,protein_coding
ENSMUSG00000005897,Nr2c1,Nr2c1,protein_coding,protein_coding
ENSMUSG00000005899,Smpd4,Smpd4,protein_coding,protein_coding
ENSMUSG00000005907,Pex1,Pex1,protein_coding,protein_coding
ENSMUSG00000005917,Otx1,Otx1,protein_coding,protein_coding
ENSMUSG00000005936,Kctd20,Kctd20,protein_coding,protein_coding
ENSMUSG00000005947,Itgae,Itgae,protein_coding,protein_coding
ENSMUSG00000005949,Ctns,Ctns,protein_coding,protein_coding
ENSMUSG00000005950,P2rx5,P2rx5,protein_coding,protein_coding
ENSMUSG00000005951,Shpk,Shpk,protein_coding,protein_coding
ENSMUSG00000005952,Trpv1,Trpv1,protein_coding,protein_coding
ENSMUSG00000005958,Ephb3,Ephb3,protein_coding,protein_coding
ENSMUSG00000005968,Tuft1,Tuft1,protein_coding,protein_coding
ENSMUSG00000005973,Rcn1,Rcn1,protein_coding,protein_coding
ENSMUSG00000005980,Dnase1,Dnase1,protein_coding,protein_coding
ENSMUSG00000005981,Trap1,Trap1,protein_coding,protein_coding
ENSMUSG00000005982,Naa60,Naa60,protein_coding,protein_coding
ENSMUSG00000005983,1700037C18Rik,1700037C18Rik,protein_coding,protein_coding
ENSMUSG00000005986,Ankrd13d,Ankrd13d,protein_coding,protein_coding
ENSMUSG00000005994,Tyrp1,Tyrp1,protein_coding,protein_coding
ENSMUSG00000006005,Tpr,Tpr,protein_coding,protein_coding
ENSMUSG00000006007,Pdc,Pdc,protein_coding,protein_coding
ENSMUSG00000006010,Odr4,Odr4,protein_coding,protein_coding
ENSMUSG00000006014,Prg4,Prg4,protein_coding,protein_coding
ENSMUSG00000006019,Dhx34,Dhx34,protein_coding,protein_coding
ENSMUSG00000006021,Kptn,Kptn,protein_coding,protein_coding
ENSMUSG00000006024,Napa,Napa,protein_coding,protein_coding
ENSMUSG00000006050,Sra1,Sra1,protein_coding,protein_coding
ENSMUSG00000006056,Calcoco2,Calcoco2,protein_coding,protein_coding
ENSMUSG00000006057,Atp5g1,Atp5g1,protein_coding,protein_coding
ENSMUSG00000006058,Snf8,Snf8,protein_coding,protein_coding
ENSMUSG00000006095,Tbcb,Tbcb,protein_coding,protein_coding
ENSMUSG00000006127,Inpp5k,Inpp5k,protein_coding,protein_coding
ENSMUSG00000006134,Crkl,Crkl,protein_coding,protein_coding
ENSMUSG00000006143,Upk3bl,Upk3bl,protein_coding,protein_coding
ENSMUSG00000006154,Eps8l1,Eps8l1,protein_coding,protein_coding
ENSMUSG00000006169,Clint1,Clint1,protein_coding,protein_coding
ENSMUSG00000006179,Prss16,Prss16,protein_coding,protein_coding
ENSMUSG00000006191,Cdkal1,Cdkal1,protein_coding,protein_coding
ENSMUSG00000006200,Rhox6,Rhox6,protein_coding,protein_coding
ENSMUSG00000006204,5430419D17Rik,Cdcp3,protein_coding,protein_coding
ENSMUSG00000006205,Htra1,Htra1,protein_coding,protein_coding
ENSMUSG00000006215,Zbtb17,Zbtb17,protein_coding,protein_coding
ENSMUSG00000006216,Clcnkb,Clcnkb,protein_coding,protein_coding
ENSMUSG00000006218,Fam131c,Fam131c,protein_coding,protein_coding
ENSMUSG00000006219,Fblim1,Fblim1,protein_coding,protein_coding
ENSMUSG00000006221,Hspb7,Hspb7,protein_coding,protein_coding
ENSMUSG00000006235,Epor,Epor,protein_coding,protein_coding
ENSMUSG00000006241,Ccdc159,Ccdc159,protein_coding,protein_coding
ENSMUSG00000006262,Mob1b,Mob1b,protein_coding,protein_coding
ENSMUSG00000006269,Atp6v1b1,Atp6v1b1,protein_coding,protein_coding
ENSMUSG00000006270,Vax1,Vax1,protein_coding,protein_coding
ENSMUSG00000006273,Atp6v1b2,Atp6v1b2,protein_coding,protein_coding
ENSMUSG00000006276,Eps15l1,Eps15l1,protein_coding,protein_coding
ENSMUSG00000006281,Tep1,Tep1,protein_coding,protein_coding
ENSMUSG00000006288,Ttc5,Ttc5,protein_coding,protein_coding
ENSMUSG00000006289,Osgep,Osgep,protein_coding,protein_coding
ENSMUSG00000006299,Aamp,Aamp,protein_coding,protein_coding
ENSMUSG00000006301,Tmbim1,Tmbim1,protein_coding,protein_coding
ENSMUSG00000006304,Arpc2,Arpc2,protein_coding,protein_coding
ENSMUSG00000006307,Kmt2b,Kmt2b,protein_coding,protein_coding
ENSMUSG00000006310,Zbtb32,Zbtb32,protein_coding,protein_coding
ENSMUSG00000006311,Etv2,Etv2,protein_coding,protein_coding
ENSMUSG00000006313,Upk1a,Upk1a,protein_coding,protein_coding
ENSMUSG00000006315,Tmem147,Tmem147,protein_coding,protein_coding
ENSMUSG00000006333,Rps9,Rps9,protein_coding,protein_coding
ENSMUSG00000006335,Tfpt,Tfpt,protein_coding,protein_coding
ENSMUSG00000006342,Susd2,Susd2,protein_coding,protein_coding
ENSMUSG00000006344,Ggt5,Ggt5,protein_coding,protein_coding
ENSMUSG00000006345,Ggt1,Ggt1,protein_coding,protein_coding
ENSMUSG00000006356,Crip2,Crip2,protein_coding,protein_coding
ENSMUSG00000006360,Crip1,Crip1,protein_coding,protein_coding
ENSMUSG00000006362,Cbfa2t3,Cbfa2t3,protein_coding,protein_coding
ENSMUSG00000006369,Fbln1,Fbln1,protein_coding,protein_coding
ENSMUSG00000006373,Pgrmc1,Pgrmc1,protein_coding,protein_coding
ENSMUSG00000006378,Gcat,Gcat,protein_coding,protein_coding
ENSMUSG00000006386,Tek,Tek,protein_coding,protein_coding
ENSMUSG00000006389,Mpl,Mpl,protein_coding,protein_coding
ENSMUSG00000006390,Elovl1,Elovl1,protein_coding,protein_coding
ENSMUSG00000006392,Med8,Med8,protein_coding,protein_coding
ENSMUSG00000006395,,Hyi,,protein_coding
ENSMUSG00000006398,Cdc20,Cdc20,protein_coding,protein_coding
ENSMUSG00000006403,Adamts4,Adamts4,protein_coding,protein_coding
ENSMUSG00000006411,Nectin4,Nectin4,protein_coding,protein_coding
ENSMUSG00000006412,Pfdn2,Pfdn2,protein_coding,protein_coding
ENSMUSG00000006418,Rnf114,Rnf114,protein_coding,protein_coding
ENSMUSG00000006423,C330007P06Rik,Steep1,protein_coding,protein_coding
ENSMUSG00000006435,Neurl1a,Neurl1a,protein_coding,protein_coding
ENSMUSG00000006442,Srm,Srm,protein_coding,protein_coding
ENSMUSG00000006445,Epha2,Epha2,protein_coding,protein_coding
ENSMUSG00000006456,Rbm14,Rbm14,protein_coding,protein_coding
ENSMUSG00000006457,Actn3,Actn3,protein_coding,protein_coding
ENSMUSG00000006462,A530013C23Rik,A530013C23Rik,lncRNA,lncRNA
ENSMUSG00000006463,Zdhhc24,Zdhhc24,protein_coding,protein_coding
ENSMUSG00000006464,Bbs1,Bbs1,protein_coding,protein_coding
ENSMUSG00000006469,Slc34a3,Slc34a3,protein_coding,protein_coding
ENSMUSG00000006471,Ndor1,Ndor1,protein_coding,protein_coding
ENSMUSG00000006476,Nsmf,Nsmf,protein_coding,protein_coding
ENSMUSG00000006488,Prl7a1,Prl7a1,protein_coding,protein_coding
ENSMUSG00000006490,Prl8a9,Prl8a9,protein_coding,protein_coding
ENSMUSG00000006494,Pdk1,Pdk1,protein_coding,protein_coding
ENSMUSG00000006498,Ptbp1,Ptbp1,protein_coding,protein_coding
ENSMUSG00000006517,Mvd,Mvd,protein_coding,protein_coding
ENSMUSG00000006519,Cyba,Cyba,protein_coding,protein_coding
ENSMUSG00000006522,Itih3,Itih3,protein_coding,protein_coding
ENSMUSG00000006526,Stimate,Stimate,protein_coding,protein_coding
ENSMUSG00000006527,Sfmbt1,Sfmbt1,protein_coding,protein_coding
ENSMUSG00000006529,Itih1,Itih1,protein_coding,protein_coding
ENSMUSG00000006538,Ihh,Ihh,protein_coding,protein_coding
ENSMUSG00000006542,Prkag3,Prkag3,protein_coding,protein_coding
ENSMUSG00000006546,Cryba2,Cryba2,protein_coding,protein_coding
ENSMUSG00000006567,Atp7b,Atp7b,protein_coding,protein_coding
ENSMUSG00000006570,Defb2,Defb2,protein_coding,protein_coding
ENSMUSG00000006574,Slc4a1,Slc4a1,protein_coding,protein_coding
ENSMUSG00000006575,Rundc3a,Rundc3a,protein_coding,protein_coding
ENSMUSG00000006576,Slc4a3,Slc4a3,protein_coding,protein_coding
ENSMUSG00000006585,Cdt1,Cdt1,protein_coding,protein_coding
ENSMUSG00000006586,Runx1t1,Runx1t1,protein_coding,protein_coding
ENSMUSG00000006587,Snai3,Snai3,protein_coding,protein_coding
ENSMUSG00000006589,Aprt,Aprt,protein_coding,protein_coding
ENSMUSG00000006599,Gtf2h1,Gtf2h1,protein_coding,protein_coding
ENSMUSG00000006611,Hfe,Hfe,protein_coding,protein_coding
ENSMUSG00000006638,,Abhd1,,protein_coding
ENSMUSG00000006641,Slc5a6,Slc5a6,protein_coding,protein_coding
ENSMUSG00000006642,Tcf23,Tcf23,protein_coding,protein_coding
ENSMUSG00000006649,Nphs1,Nphs1,protein_coding,protein_coding
ENSMUSG00000006651,Aplp1,Aplp1,protein_coding,protein_coding
ENSMUSG00000006673,Qrich1,Qrich1,protein_coding,protein_coding
ENSMUSG00000006675,P4htm,P4htm,protein_coding,protein_coding
ENSMUSG00000006676,Usp19,Usp19,protein_coding,protein_coding
ENSMUSG00000006678,Pola1,Pola1,protein_coding,protein_coding
ENSMUSG00000006699,Cdc42,Cdc42,protein_coding,protein_coding
ENSMUSG00000006705,Pknox1,Pknox1,protein_coding,protein_coding
ENSMUSG00000006711,D130043K22Rik,D130043K22Rik,protein_coding,protein_coding
ENSMUSG00000006715,Gmnn,Gmnn,protein_coding,protein_coding
ENSMUSG00000006717,Acot13,Acot13,protein_coding,protein_coding
ENSMUSG00000006720,Zfp184,Zfp184,protein_coding,protein_coding
ENSMUSG00000006724,Cyp27b1,Cyp27b1,protein_coding,protein_coding
ENSMUSG00000006728,Cdk4,Cdk4,protein_coding,protein_coding
ENSMUSG00000006731,B4galnt1,B4galnt1,protein_coding,protein_coding
ENSMUSG00000006732,Mettl1,Mettl1,protein_coding,protein_coding
ENSMUSG00000006736,Tspan31,Tspan31,protein_coding,protein_coding
ENSMUSG00000006740,Kif5b,Kif5b,protein_coding,protein_coding
ENSMUSG00000006763,Saal1,Saal1,protein_coding,protein_coding
ENSMUSG00000006764,Tph2,Tph2,protein_coding,protein_coding
ENSMUSG00000006777,Krt23,Krt23,protein_coding,protein_coding
ENSMUSG00000006782,Cnp,Cnp,protein_coding,protein_coding
ENSMUSG00000006784,Ttc25,Odad4,protein_coding,protein_coding
ENSMUSG00000006800,Sulf2,Sulf2,protein_coding,protein_coding
ENSMUSG00000006818,Sod2,Sod2,protein_coding,protein_coding
ENSMUSG00000006850,Tmco6,Tmco6,protein_coding,protein_coding
ENSMUSG00000006906,Stambp,Stambp,protein_coding,protein_coding
ENSMUSG00000006920,Ezh1,Ezh1,protein_coding,protein_coding
ENSMUSG00000006930,Hap1,Hap1,protein_coding,protein_coding
ENSMUSG00000006931,P3h4,P3h4,protein_coding,protein_coding
ENSMUSG00000006932,Ctnnb1,Ctnnb1,protein_coding,protein_coding
ENSMUSG00000006941,Eif1b,Eif1b,protein_coding,protein_coding
ENSMUSG00000006948,Klk4,Klk4,protein_coding,protein_coding
ENSMUSG00000006958,Chrd,Chrd,protein_coding,protein_coding
ENSMUSG00000006998,Psmd2,Psmd2,protein_coding,protein_coding
ENSMUSG00000007021,Syngr3,Syngr3,protein_coding,protein_coding
ENSMUSG00000007029,Vars,Vars,protein_coding,protein_coding
ENSMUSG00000007030,Vwa7,Vwa7,protein_coding,protein_coding
ENSMUSG00000007033,Hspa1l,Hspa1l,protein_coding,protein_coding
ENSMUSG00000007034,Slc44a4,Slc44a4,protein_coding,protein_coding
ENSMUSG00000007035,Msh5,Msh5,protein_coding,protein_coding
ENSMUSG00000007036,Abhd16a,Abhd16a,protein_coding,protein_coding
ENSMUSG00000007038,Neu1,Neu1,protein_coding,protein_coding
ENSMUSG00000007039,Ddah2,Ddah2,protein_coding,protein_coding
ENSMUSG00000007041,Clic1,Clic1,protein_coding,protein_coding
ENSMUSG00000007050,Lsm2,Lsm2,protein_coding,protein_coding
ENSMUSG00000007080,Pole,Pole,protein_coding,protein_coding
ENSMUSG00000007097,Atp1a2,Atp1a2,protein_coding,protein_coding
ENSMUSG00000007107,Atp1a4,Atp1a4,protein_coding,protein_coding
ENSMUSG00000007122,Casq1,Casq1,protein_coding,protein_coding
ENSMUSG00000007207,Stx1a,Stx1a,protein_coding,protein_coding
ENSMUSG00000007209,Ceacam9,Ceacam9,protein_coding,protein_coding
ENSMUSG00000007216,Zfp775,Zfp775,protein_coding,protein_coding
ENSMUSG00000007279,Scube2,Scube2,protein_coding,protein_coding
ENSMUSG00000007338,Mrpl49,Mrpl49,protein_coding,protein_coding
ENSMUSG00000007379,Dennd2c,Dennd2c,protein_coding,protein_coding
ENSMUSG00000007411,Mark3,Mark3,protein_coding,protein_coding
ENSMUSG00000007415,Gatad1,Gatad1,protein_coding,protein_coding
ENSMUSG00000007440,Pcdha11,Pcdha10,protein_coding,protein_coding
ENSMUSG00000007457,2310003L06Rik,2310003L06Rik,protein_coding,protein_coding
ENSMUSG00000007458,M6pr,M6pr,protein_coding,protein_coding
ENSMUSG00000007476,Lrrc8a,Lrrc8a,protein_coding,protein_coding
ENSMUSG00000007480,Mc5r,Mc5r,protein_coding,protein_coding
ENSMUSG00000007564,Ppp2r1a,Ppp2r1a,protein_coding,protein_coding
ENSMUSG00000007570,Fance,Fance,protein_coding,protein_coding
ENSMUSG00000007589,Tinf2,Tinf2,protein_coding,protein_coding
ENSMUSG00000007591,Tssk4,Tssk4,protein_coding,protein_coding
ENSMUSG00000007594,Hapln4,Hapln4,protein_coding,protein_coding
ENSMUSG00000007603,Dus3l,Dus3l,protein_coding,protein_coding
ENSMUSG00000007610,Gtpbp3,Gtpbp3,protein_coding,protein_coding
ENSMUSG00000007613,Tgfbr1,Tgfbr1,protein_coding,protein_coding
ENSMUSG00000007617,Homer1,Homer1,protein_coding,protein_coding
ENSMUSG00000007646,Rad51c,Rad51c,protein_coding,protein_coding
ENSMUSG00000007653,Gabrb2,Gabrb2,protein_coding,protein_coding
ENSMUSG00000007655,Cav1,Cav1,protein_coding,protein_coding
ENSMUSG00000007656,Arpp19,Arpp19,protein_coding,protein_coding
ENSMUSG00000007659,Bcl2l1,Bcl2l1,protein_coding,protein_coding
ENSMUSG00000007670,Khsrp,Khsrp,protein_coding,protein_coding
ENSMUSG00000007682,Dio2,Dio2,protein_coding,protein_coding
ENSMUSG00000007721,Ccdc124,Ccdc124,protein_coding,protein_coding
ENSMUSG00000007739,Cct4,Cct4,protein_coding,protein_coding
ENSMUSG00000007777,0610009B22Rik,0610009B22Rik,protein_coding,protein_coding
ENSMUSG00000007783,Cpt1c,Cpt1c,protein_coding,protein_coding
ENSMUSG00000007805,Twist2,Twist2,protein_coding,protein_coding
ENSMUSG00000007812,Zfp655,Zfp655,protein_coding,protein_coding
ENSMUSG00000007815,Rhoa,Rhoa,protein_coding,protein_coding
ENSMUSG00000007817,Zmiz1,Zmiz1,protein_coding,protein_coding
ENSMUSG00000007827,Ankrd26,Ankrd26,protein_coding,protein_coding
ENSMUSG00000007833,Aldh16a1,Aldh16a1,protein_coding,protein_coding
ENSMUSG00000007836,Hnrnpa0,Hnrnpa0,protein_coding,protein_coding
ENSMUSG00000007837,Prrg2,Prrg2,protein_coding,protein_coding
ENSMUSG00000007850,Hnrnph1,Hnrnph1,protein_coding,protein_coding
ENSMUSG00000007867,Ift43,Ift43,protein_coding,protein_coding
ENSMUSG00000007872,Id3,Id3,protein_coding,protein_coding
ENSMUSG00000007877,Tcap,Tcap,protein_coding,protein_coding
ENSMUSG00000007880,Arid1a,Arid1a,protein_coding,protein_coding
ENSMUSG00000007888,Crlf1,Crlf1,protein_coding,protein_coding
ENSMUSG00000007891,Ctsd,Ctsd,protein_coding,protein_coding
ENSMUSG00000007892,Rplp1,Rplp1,protein_coding,protein_coding
ENSMUSG00000007907,Cabs1,Cabs1,protein_coding,protein_coding
ENSMUSG00000007908,Hmgcll1,Hmgcll1,protein_coding,protein_coding
ENSMUSG00000007944,Ttc9b,Ttc9b,protein_coding,protein_coding
ENSMUSG00000007946,Phox2a,Phox2a,protein_coding,protein_coding
ENSMUSG00000007950,Abhd8,Abhd8,protein_coding,protein_coding
ENSMUSG00000007987,Ift22,Ift22,protein_coding,protein_coding
ENSMUSG00000007989,Fzd3,Fzd3,protein_coding,protein_coding
ENSMUSG00000008028,1700008O03Rik,1700008O03Rik,protein_coding,protein_coding
ENSMUSG00000008035,Mid1ip1,Mid1ip1,protein_coding,protein_coding
ENSMUSG00000008036,Ap2s1,Ap2s1,protein_coding,protein_coding
ENSMUSG00000008090,Fgfrl1,Fgfrl1,protein_coding,protein_coding
ENSMUSG00000008129,4930432K21Rik,Brme1,protein_coding,protein_coding
ENSMUSG00000008136,Fhl2,Fhl2,protein_coding,protein_coding
ENSMUSG00000008140,Emc10,Emc10,protein_coding,protein_coding
ENSMUSG00000008153,Clstn3,Clstn3,protein_coding,protein_coding
ENSMUSG00000008167,Fbxw9,Fbxw9,protein_coding,protein_coding
ENSMUSG00000008193,Spib,Spib,protein_coding,protein_coding
ENSMUSG00000008200,Fnbp4,Fnbp4,protein_coding,protein_coding
ENSMUSG00000008206,Cers4,Cers4,protein_coding,protein_coding
ENSMUSG00000008226,Scrn3,Scrn3,protein_coding,protein_coding
ENSMUSG00000008301,Phax,Phax,protein_coding,protein_coding
ENSMUSG00000008305,Tle1,Tle1,protein_coding,protein_coding
ENSMUSG00000008307,1700109H08Rik,1700109H08Rik,protein_coding,protein_coding
ENSMUSG00000008318,Relt,Relt,protein_coding,protein_coding
ENSMUSG00000008333,Snrpb2,Snrpb2,protein_coding,protein_coding
ENSMUSG00000008348,Ubc,Ubc,protein_coding,protein_coding
ENSMUSG00000008373,Prpf31,Prpf31,protein_coding,protein_coding
ENSMUSG00000008384,Sertad1,Sertad1,protein_coding,protein_coding
ENSMUSG00000008393,Carhsp1,Carhsp1,protein_coding,protein_coding
ENSMUSG00000008398,Elk3,Elk3,protein_coding,protein_coding
ENSMUSG00000008429,Herpud2,Herpud2,protein_coding,protein_coding
ENSMUSG00000008435,Rdh13,Rdh13,protein_coding,protein_coding
ENSMUSG00000008438,Adam21,Adam21,protein_coding,protein_coding
ENSMUSG00000008450,Nutf2,Nutf2,protein_coding,protein_coding
ENSMUSG00000008461,Fut1,Fut1,protein_coding,protein_coding
ENSMUSG00000008475,Arpc5,Arpc5,protein_coding,protein_coding
ENSMUSG00000008482,Rnf151,Rnf151,protein_coding,protein_coding
ENSMUSG00000008489,Elavl2,Elavl2,protein_coding,protein_coding
ENSMUSG00000008496,Pou2f2,Pou2f2,protein_coding,protein_coding
ENSMUSG00000008540,Mgst1,Mgst1,protein_coding,protein_coding
ENSMUSG00000008575,Nfib,Nfib,protein_coding,protein_coding
ENSMUSG00000008590,Htr3b,Htr3b,protein_coding,protein_coding
ENSMUSG00000008601,Rab25,Rab25,protein_coding,protein_coding
ENSMUSG00000008604,Ubqln4,Ubqln4,protein_coding,protein_coding
ENSMUSG00000008658,Rbfox1,Rbfox1,protein_coding,protein_coding
ENSMUSG00000008668,Rps18,Rps18,protein_coding,protein_coding
ENSMUSG00000008682,Rpl10,Rpl10,protein_coding,protein_coding
ENSMUSG00000008683,Rps15a,Rps15a,protein_coding,protein_coding
ENSMUSG00000008690,Ncaph2,Ncaph2,protein_coding,protein_coding
ENSMUSG00000008730,Hipk1,Hipk1,protein_coding,protein_coding
ENSMUSG00000008734,Gprc5b,Gprc5b,protein_coding,protein_coding
ENSMUSG00000008763,Man1a2,Man1a2,protein_coding,protein_coding
ENSMUSG00000008789,Ceacam5,Ceacam5,protein_coding,protein_coding
ENSMUSG00000008813,Tppp2,Tppp2,protein_coding,protein_coding
ENSMUSG00000008822,Acyp1,Acyp1,protein_coding,protein_coding
ENSMUSG00000008843,Cldn13,Cldn13,protein_coding,protein_coding
ENSMUSG00000008845,Cd163,Cd163,protein_coding,protein_coding
ENSMUSG00000008855,Hdac5,Hdac5,protein_coding,protein_coding
ENSMUSG00000008859,Rala,Rala,protein_coding,protein_coding
ENSMUSG00000008874,Clec3a,Clec3a,protein_coding,protein_coding
ENSMUSG00000008892,Vdac3,Vdac3,protein_coding,protein_coding
ENSMUSG00000008932,Slc1a7,Slc1a7,protein_coding,protein_coding
ENSMUSG00000008958,Vps72,Vps72,protein_coding,protein_coding
ENSMUSG00000008976,Gabpa,Gabpa,protein_coding,protein_coding
ENSMUSG00000008999,Bmp7,Bmp7,protein_coding,protein_coding
ENSMUSG00000009013,Dynll1,Dynll1,protein_coding,protein_coding
ENSMUSG00000009030,Pdcl,Pdcl,protein_coding,protein_coding
ENSMUSG00000009035,Tmem184b,Tmem184b,protein_coding,protein_coding
ENSMUSG00000009047,Gm5965,Gm5965,protein_coding,protein_coding
ENSMUSG00000009070,Rsph14,Rsph14,protein_coding,protein_coding
ENSMUSG00000009073,Nf2,Nf2,protein_coding,protein_coding
ENSMUSG00000009075,Cabp7,Cabp7,protein_coding,protein_coding
ENSMUSG00000009076,Zmat5,Zmat5,protein_coding,protein_coding
ENSMUSG00000009079,Ewsr1,Ewsr1,protein_coding,protein_coding
ENSMUSG00000009090,Ap1b1,Ap1b1,protein_coding,protein_coding
ENSMUSG00000009092,Derl3,Derl3,protein_coding,protein_coding
ENSMUSG00000009093,Gstt4,Gstt4,protein_coding,protein_coding
ENSMUSG00000009097,Tbx1,Tbx1,protein_coding,protein_coding
ENSMUSG00000009108,Gnat2,Gnat2,protein_coding,protein_coding
ENSMUSG00000009112,Bcl2l13,Bcl2l13,protein_coding,protein_coding
ENSMUSG00000009114,2610028H24Rik,2610028H24Rik,protein_coding,protein_coding
ENSMUSG00000009115,Spatc1l,Spatc1l,protein_coding,protein_coding
ENSMUSG00000009145,Dqx1,Dqx1,protein_coding,protein_coding
ENSMUSG00000009185,Ccl8,Ccl8,protein_coding,protein_coding
ENSMUSG00000009207,Lnpk,Lnpk,protein_coding,protein_coding
ENSMUSG00000009210,Prr29,Prr29,protein_coding,protein_coding
ENSMUSG00000009214,Mymk,Mymk,protein_coding,protein_coding
ENSMUSG00000009216,Fam163b,Fam163b,protein_coding,protein_coding
ENSMUSG00000009246,Trpm5,Trpm5,protein_coding,protein_coding
ENSMUSG00000009248,Ascl2,Ascl2,protein_coding,protein_coding
ENSMUSG00000009281,Rarres2,Rarres2,protein_coding,protein_coding
ENSMUSG00000009291,Pttg1ip,Pttg1ip,protein_coding,protein_coding
ENSMUSG00000009292,Trpm2,Trpm2,protein_coding,protein_coding
ENSMUSG00000009293,Ube2g2,Ube2g2,protein_coding,protein_coding
ENSMUSG00000009350,Mpo,Mpo,protein_coding,protein_coding
ENSMUSG00000009356,Lpo,Lpo,protein_coding,protein_coding
ENSMUSG00000009376,Met,Met,protein_coding,protein_coding
ENSMUSG00000009378,Slc16a12,Slc16a12,protein_coding,protein_coding
ENSMUSG00000009394,Syn2,Syn2,protein_coding,protein_coding
ENSMUSG00000009406,Elk1,Elk1,protein_coding,protein_coding
ENSMUSG00000009418,Nav1,Nav1,protein_coding,protein_coding
ENSMUSG00000009470,Tnpo1,Tnpo1,protein_coding,protein_coding
ENSMUSG00000009471,Myod1,Myod1,protein_coding,protein_coding
ENSMUSG00000009487,Otog,Otog,protein_coding,protein_coding
ENSMUSG00000009535,Rnmt,Rnmt,protein_coding,protein_coding
ENSMUSG00000009545,Kcnq1,Kcnq1,protein_coding,protein_coding
ENSMUSG00000009549,Srp14,Srp14,protein_coding,protein_coding
ENSMUSG00000009551,6330409D20Rik,6330409D20Rik,protein_coding,lncRNA
ENSMUSG00000009555,Cdk9,Cdk9,protein_coding,protein_coding
ENSMUSG00000009563,Tor2a,Tor2a,protein_coding,protein_coding
ENSMUSG00000009566,Fpgs,Fpgs,protein_coding,protein_coding
ENSMUSG00000009569,Mrtfb,Mrtfb,protein_coding,protein_coding
ENSMUSG00000009575,Cbx5,Cbx5,protein_coding,protein_coding
ENSMUSG00000009580,Odam,Odam,protein_coding,protein_coding
ENSMUSG00000009585,Apobec3,Apobec3,protein_coding,protein_coding
ENSMUSG00000009588,St6galnac1,St6galnac1,protein_coding,protein_coding
ENSMUSG00000009596,Taf7l,Taf7l,protein_coding,protein_coding
ENSMUSG00000009614,Sardh,Sardh,protein_coding,protein_coding
ENSMUSG00000009621,Vav2,Vav2,protein_coding,protein_coding
ENSMUSG00000009628,Tex15,Tex15,protein_coding,protein_coding
ENSMUSG00000009630,Ppp2cb,Ppp2cb,protein_coding,protein_coding
